gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
1830953906,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra atra,,SPECIES,Salamandra atra Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953857,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Salamandrella,Salamandrella keyserlingii,,SPECIES,Salamandrella keyserlingii Dybowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953843,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra atra,,SPECIES,Salamandra atra Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953828,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra atra,,SPECIES,Salamandra atra Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953819,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra salamandra,,SPECIES,Salamandra salamandra (Linnaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953811,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Sirenidae,Siren,Siren lacertina,,SPECIES,Siren lacertina Ã–sterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953799,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra atra,,SPECIES,Salamandra atra Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953768,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra atra,,SPECIES,Salamandra atra Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953767,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Sirenidae,Siren,Siren lacertina,,SPECIES,Siren lacertina Ã–sterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830953737,1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34,,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra atra,,SPECIES,Salamandra atra Laurenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
