Binomial,NumberSpecimens,NumberOverlaps,PercentOverlaps
Lagopus lagopus,27,18,66.66666666666666
Pyrocephalus rubinus,5,5,100
Conuropsis carolinensis,118,113,95.76271186440678
Lagopus leucura,13,8,61.53846153846154
Amaurornis olivacea,7,1,14.285714285714285
Sitta pygmaea,78,75,96.15384615384616
Cotinga cayana,7,5,71.42857142857143
Tangara gyrola,4,4,100
Phalacrocorax carbo,12,5,41.66666666666667
Troglodytes hiemalis,29,29,100
NA,NA,NA,NA
Progne chalybea,11,10,90.9090909090909
Cinclocerthia ruficauda,7,7,100
Chrysococcyx cupreus,8,7,87.5
Allenia fusca,7,7,100
Troglodytes pacificus,30,30,100
Spizella breweri,65,64,98.46153846153847
Polioptila californica,89,63,70.78651685393258
Coturnicops noveboracensis,18,1,5.555555555555555
Megascops kennicottii,37,34,91.8918918918919
Melozone crissalis,34,32,94.11764705882352
NA,NA,NA,NA
Eulampis holosericeus,7,7,100
Rallus crepitans,9,8,88.88888888888889
Coereba flaveola,73,73,100
Arremonops rufivirgatus,20,17,85
Amandava amandava,4,4,100
NA,NA,NA,NA
Aimophila ruficeps,47,17,36.17021276595745
Charadrius nivosus,8,7,87.5
Selasphorus sasin,57,57,100
Trachylaemus purpuratus,5,5,100
Poecile hudsonicus,56,38,67.85714285714286
Falcipennis canadensis,18,12,66.66666666666666
Cathartes aura,3,3,100
Carpodacus erythrinus,3,2,66.66666666666666
Cypseloides niger,3,2,66.66666666666666
NA,NA,NA,NA
NA,NA,NA,NA
Larus hyperboreus,5,1,20
Otus scops,22,13,59.09090909090909
Macropygia tenuirostris,8,7,87.5
Sporophila americana,16,0,0
Xiphorhynchus guttatus,5,0,0
Myrmotherula schisticolor,13,0,0
NA,NA,NA,NA
Tyrannus melancholicus,4,4,100
Myiozetetes cayanensis,5,5,100
Contopus sordidulus,3,3,100
NA,NA,NA,NA
Pachyramphus cinnamomeus,17,1,5.88235294117647
Rhytipterna holerythra,5,4,80
Empidonax flavescens,7,2,28.57142857142857
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
Irena puella,5,2,40
Lanius cristatus,3,3,100
Lanius schach,3,3,100
Lanius minor,3,0,0
Cantorchilus modestus,9,9,100
Manucodia ater,3,1,33.33333333333333
Lycocorax pyrrhopterus,5,4,80
NA,NA,NA,NA
Ammodramus humeralis,3,2,66.66666666666666
Saltator maximus,16,15,93.75
Caryothraustes canadensis,9,3,33.33333333333333
Chrysothlypis chrysomelas,17,5,29.411764705882355
NA,NA,NA,NA
NA,NA,NA,NA
Bangsia arcaei,6,4,66.66666666666666
Euphonia minuta,3,3,100
Euphonia anneae,25,7,28.000000000000004
Tangara florida,24,7,29.166666666666668
Tangara dowii,10,5,50
Dacnis venusta,6,6,100
NA,NA,NA,NA
Loxops coccineus,15,12,80
Melozone leucotis,3,3,100
Certhidea olivacea,5,3,60
NA,NA,NA,NA
Phylloscopus trivirgatus,3,3,100
Yuhina castaniceps,8,0,0
NA,NA,NA,NA
Brachypteryx hyperythra,3,1,33.33333333333333
NA,NA,NA,NA
Platysteira cyanea,4,4,100
Melanochlora sultanea,4,2,50
NA,NA,NA,NA
Tichodroma muraria,9,2,22.22222222222222
Leptocoma zeylonica,4,4,100
Emberiza cia,7,6,85.71428571428571
NA,NA,NA,NA
Emberiza cirlus,7,7,100
Sphyrapicus thyroideus,43,12,27.906976744186046
Strix occidentalis,11,3,27.27272727272727
Hydroprogne caspia,6,6,100
Myiarchus crinitus,3,3,100
NA,NA,NA,NA
Caracara cheriway,11,10,90.9090909090909
Glaucidium gnoma,3,2,66.66666666666666
Charadrius melodus,12,4,33.33333333333333
Apteryx australis,3,2,66.66666666666666
Sula leucogaster,5,3,60
Rostrhamus sociabilis,4,2,50
Accipiter striatus,3,3,100
Lagopus muta,3,3,100
